period,wrk2id,wrk1id,w1,w2,e1,e2,pubwage
1,132,125,2,1,0,2,1
1,123,133,1,1,1,0,1
1,122,129,1,1,0,0,1
1,128,134,2,2,3,1,1
1,126,130,1,2,0,1,1
2,132,130,1,3,0,2,1
2,122,125,1,1,0,0,1
2,128,133,0,0,0,0,1
2,126,129,2,2,0,0,1
2,123,134,0,4,0,0,1
3,128,130,2,2,1,0,1
3,122,134,2,2,0,0,1
3,126,133,0,0,0,0,1
3,132,125,1,1,0,2,1
3,123,129,2,2,0,0,1
4,122,134,1,3,0,0,1
4,126,125,0,0,0,0,1
4,132,129,0,0,0,0,1
4,128,130,1,2,0,1,1
4,123,133,0,0,0,0,1
5,126,134,2,2,0,0,1
5,122,130,1,1,0,0,1
5,132,129,0,1,0,3,1
5,128,125,0,1,0,0,1
5,123,133,0,0,0,0,1
6,122,129,0,3,0,0,1
6,128,130,0,0,0,0,1
6,132,134,1,1,0,2,1
6,126,133,0,0,0,0,1
6,123,125,3,1,0,0,1
7,126,130,3,1,0,0,1
7,122,133,0,2,0,0,1
7,123,134,0,1,0,1,1
7,132,125,0,0,0,1,1
7,128,129,0,0,0,0,1
8,122,133,1,3,1,0,1
8,123,125,2,0,0,0,1
8,126,134,0,1,0,0,1
8,132,130,0,1,0,2,1
8,128,129,0,0,0,0,1
9,126,134,2,2,0,0,1
9,123,129,0,0,0,0,1
9,132,125,1,2,0,2,1
9,122,133,0,3,0,0,1
9,128,130,2,2,0,1,1
10,128,134,1,1,0,0,1
10,122,133,0,0,0,0,1
10,123,130,0,2,0,0,1
10,126,129,0,1,0,0,1
10,132,125,1,2,0,2,1
11,132,130,2,1,0,2,0
11,122,133,0,4,0,2,0
11,123,125,0,0,0,0,0
11,126,134,0,1,0,0,0
11,128,129,1,2,1,1,0
12,126,130,2,2,0,1,0
12,122,129,1,2,0,0,0
12,123,133,0,1,0,0,0
12,132,125,0,0,0,0,0
12,128,134,1,3,0,2,0
13,123,129,0,4,0,0,0
13,122,134,4,0,2,0,0
13,128,130,0,0,0,0,0
